ci_id,patch_name,current_version,available_version,cve_ref,severity,released_at
CI-0038,db-server-security-update,9.8.6,9.8.7,CVE-2026-82412,low,2026-08-02T13:35:28
CI-0039,storage-volume-security-update,2.11.1,2.11.3,CVE-2026-45338,low,2026-07-22T20:35:48
CI-0040,message-queue-security-update,2.19.4,2.19.6,CVE-2026-94270,critical,2026-07-13T08:25:14
CI-0041,db-server-security-update,3.3.0,3.3.4,CVE-2026-14603,high,2026-08-04T23:16:11
CI-0042,load-balancer-security-update,7.3.0,7.3.2,CVE-2026-12464,low,2026-07-29T15:54:41
CI-0043,network-switch-security-update,5.13.9,5.13.10,CVE-2026-70933,high,2026-07-18T12:59:52
CI-0044,web-server-security-update,1.16.5,1.16.9,CVE-2026-15284,medium,2026-07-22T12:12:39
CI-0045,network-switch-security-update,2.19.8,2.19.9,CVE-2026-26623,critical,2026-08-06T09:04:43
CI-0046,message-queue-security-update,3.3.1,3.3.4,CVE-2026-62096,critical,2026-08-05T18:00:31
CI-0047,storage-volume-security-update,9.2.6,9.2.7,CVE-2026-70622,high,2026-07-21T01:37:51
CI-0048,storage-volume-security-update,5.0.8,5.0.12,CVE-2026-43691,medium,2026-07-22T20:12:54
CI-0049,web-server-security-update,6.13.0,6.13.3,CVE-2026-61712,critical,2026-07-16T02:19:38
CI-0050,app-server-security-update,7.15.4,7.15.6,CVE-2026-63397,medium,2026-08-04T17:24:00
CI-0051,message-queue-security-update,2.14.5,2.14.7,CVE-2026-62772,low,2026-07-20T03:53:51
CI-0052,network-switch-security-update,3.1.3,3.1.6,CVE-2026-61137,low,2026-08-01T16:54:18
CI-0053,db-server-security-update,9.6.3,9.6.4,CVE-2026-13767,critical,2026-08-03T16:35:40
CI-0054,storage-volume-security-update,5.1.9,5.1.11,CVE-2026-92854,low,2026-07-27T08:19:09
CI-0055,message-queue-security-update,2.19.8,2.19.9,CVE-2026-16552,low,2026-07-21T01:38:12
CI-0056,api-gateway-security-update,4.20.4,4.20.5,CVE-2026-20950,critical,2026-08-02T01:15:24
CI-0057,api-gateway-security-update,8.17.6,8.17.8,CVE-2026-18110,medium,2026-07-19T10:13:30
CI-0058,api-gateway-security-update,7.1.1,7.1.3,CVE-2026-39481,high,2026-08-06T02:34:35
CI-0059,load-balancer-security-update,8.6.7,8.6.10,CVE-2026-54309,low,2026-07-19T22:28:10
CI-0060,api-gateway-security-update,8.4.9,8.4.11,CVE-2026-22259,low,2026-07-29T13:44:03
CI-0061,app-server-security-update,2.13.4,2.13.6,CVE-2026-35807,low,2026-07-10T14:58:21
CI-0062,web-server-security-update,5.6.4,5.6.8,CVE-2026-26657,medium,2026-07-12T20:21:19
CI-0063,web-server-security-update,8.2.8,8.2.11,CVE-2026-25675,high,2026-07-19T15:46:49
CI-0064,app-server-security-update,2.18.5,2.18.6,CVE-2026-25688,high,2026-07-18T21:59:56
CI-0065,api-gateway-security-update,7.19.3,7.19.4,CVE-2026-78663,high,2026-07-23T19:38:57
CI-0066,network-switch-security-update,5.15.3,5.15.5,CVE-2026-47916,high,2026-07-26T09:18:17
CI-0067,load-balancer-security-update,2.1.1,2.1.2,CVE-2026-93914,medium,2026-07-29T21:53:40
CI-0068,db-server-security-update,1.20.0,1.20.2,CVE-2026-95532,critical,2026-07-18T20:18:00
CI-0069,load-balancer-security-update,7.3.7,7.3.11,CVE-2026-59260,high,2026-07-30T11:42:35
CI-0070,db-server-security-update,6.9.1,6.9.5,CVE-2026-82900,low,2026-07-23T05:04:17
CI-0071,storage-volume-security-update,3.16.5,3.16.8,CVE-2026-15100,high,2026-07-18T03:02:48
CI-0072,storage-volume-security-update,4.1.9,4.1.11,CVE-2026-56702,high,2026-07-29T20:41:32
CI-0073,web-server-security-update,7.2.6,7.2.9,CVE-2026-60574,low,2026-07-26T17:29:03
CI-0074,db-server-security-update,2.17.2,2.17.6,CVE-2026-49465,high,2026-07-30T03:16:06
CI-0075,storage-volume-security-update,5.4.3,5.4.4,CVE-2026-67021,medium,2026-07-15T16:03:10
CI-0076,db-server-security-update,6.9.2,6.9.6,CVE-2026-54771,critical,2026-07-14T01:44:46
CI-0077,app-server-security-update,4.20.7,4.20.11,CVE-2026-62650,medium,2026-07-19T20:25:29
CI-0078,network-switch-security-update,9.12.3,9.12.7,CVE-2026-70041,low,2026-08-04T00:55:02
CI-0079,message-queue-security-update,4.15.3,4.15.7,CVE-2026-52316,high,2026-07-22T22:47:04
CI-0080,api-gateway-security-update,4.10.5,4.10.9,CVE-2026-91087,low,2026-07-12T08:46:12
CI-0081,web-server-security-update,7.6.8,7.6.11,CVE-2026-60980,critical,2026-07-28T19:55:51
CI-0082,api-gateway-security-update,1.20.9,1.20.13,CVE-2026-55090,critical,2026-07-23T09:27:01
CI-0083,cache-security-update,3.0.4,3.0.8,CVE-2026-61325,high,2026-07-09T06:06:00
CI-0084,api-gateway-security-update,1.20.9,1.20.12,CVE-2026-29740,low,2026-07-26T00:07:20
CI-0085,app-server-security-update,7.19.0,7.19.3,CVE-2026-91829,high,2026-07-21T14:57:41
CI-0086,app-server-security-update,2.6.0,2.6.4,CVE-2026-22436,critical,2026-07-24T10:49:10
CI-0087,load-balancer-security-update,4.13.9,4.13.12,CVE-2026-11660,high,2026-07-20T23:30:41
CI-0088,db-server-security-update,9.9.5,9.9.6,CVE-2026-94998,critical,2026-07-18T17:45:58
CI-0089,network-switch-security-update,4.18.2,4.18.6,CVE-2026-42747,critical,2026-07-21T09:53:14
CI-0090,network-switch-security-update,6.8.1,6.8.3,CVE-2026-52052,low,2026-07-09T19:29:08
CI-0091,network-switch-security-update,3.18.0,3.18.1,CVE-2026-67941,high,2026-07-14T16:02:21
CI-0092,cache-security-update,1.16.6,1.16.8,CVE-2026-87432,medium,2026-07-24T14:29:55
CI-0093,db-server-security-update,3.1.4,3.1.7,CVE-2026-45871,high,2026-07-24T14:18:04
CI-0094,storage-volume-security-update,7.1.3,7.1.7,CVE-2026-78905,low,2026-07-31T18:01:21
CI-0095,app-server-security-update,7.17.8,7.17.12,CVE-2026-31621,high,2026-07-12T23:44:27
CI-0096,db-server-security-update,7.8.5,7.8.6,CVE-2026-69665,high,2026-08-02T03:47:53
CI-0097,message-queue-security-update,4.13.8,4.13.10,CVE-2026-90744,low,2026-07-13T06:15:28
CI-0098,load-balancer-security-update,7.20.0,7.20.3,CVE-2026-75558,critical,2026-07-26T19:38:20
CI-0099,db-server-security-update,9.16.8,9.16.11,CVE-2026-67714,critical,2026-07-20T05:16:38
CI-0100,cache-security-update,3.0.7,3.0.8,CVE-2026-72650,low,2026-07-11T05:13:52
CI-0101,network-switch-security-update,2.9.6,2.9.10,CVE-2026-34988,medium,2026-07-13T22:19:16
CI-0102,load-balancer-security-update,8.4.3,8.4.6,CVE-2026-84449,low,2026-08-06T06:13:17
CI-0103,cache-security-update,5.13.3,5.13.6,CVE-2026-68840,low,2026-07-25T20:59:07
CI-0104,app-server-security-update,8.7.2,8.7.5,CVE-2026-11288,high,2026-07-22T19:56:16
CI-0105,cache-security-update,5.12.2,5.12.3,CVE-2026-95879,high,2026-07-24T07:31:57
CI-0106,web-server-security-update,5.14.9,5.14.11,CVE-2026-76835,critical,2026-07-24T13:40:42
CI-0107,app-server-security-update,9.19.6,9.19.9,CVE-2026-58145,low,2026-07-24T09:26:58
CI-0108,load-balancer-security-update,6.12.2,6.12.6,CVE-2026-95816,low,2026-07-27T18:19:11
CI-0109,web-server-security-update,6.3.7,6.3.9,CVE-2026-61003,medium,2026-07-18T04:19:40
CI-0110,web-server-security-update,8.20.1,8.20.4,CVE-2026-72725,critical,2026-08-02T00:44:51
CI-0111,web-server-security-update,9.14.8,9.14.12,CVE-2026-35077,critical,2026-07-27T15:39:30
CI-0112,load-balancer-security-update,9.16.0,9.16.4,CVE-2026-17121,low,2026-07-09T21:22:40
CI-0113,api-gateway-security-update,4.3.2,4.3.4,CVE-2026-87816,high,2026-08-01T03:34:43
CI-0114,db-server-security-update,1.17.0,1.17.3,CVE-2026-41909,medium,2026-07-21T06:40:51
CI-0115,cache-security-update,9.18.6,9.18.10,CVE-2026-51344,high,2026-07-31T16:05:27
CI-0116,load-balancer-security-update,4.9.1,4.9.2,CVE-2026-88712,low,2026-07-19T00:41:38
CI-0117,storage-volume-security-update,7.17.5,7.17.6,CVE-2026-18555,low,2026-07-17T23:41:52
CI-0118,api-gateway-security-update,3.1.8,3.1.9,CVE-2026-57198,high,2026-08-04T18:56:08
CI-0119,load-balancer-security-update,3.17.8,3.17.11,CVE-2026-80286,low,2026-08-02T06:06:01
CI-0120,db-server-security-update,4.20.3,4.20.6,CVE-2026-60166,low,2026-07-12T23:25:44
CI-0121,cache-security-update,1.19.2,1.19.3,CVE-2026-97758,medium,2026-07-18T17:51:50
CI-0122,network-switch-security-update,4.14.7,4.14.10,CVE-2026-44462,high,2026-07-28T08:45:48
CI-0123,load-balancer-security-update,2.18.3,2.18.5,CVE-2026-23919,critical,2026-07-13T12:10:38
CI-0124,load-balancer-security-update,6.2.9,6.2.10,CVE-2026-86346,critical,2026-07-10T00:55:41
CI-0125,message-queue-security-update,5.6.1,5.6.4,CVE-2026-99028,critical,2026-07-12T12:03:53
CI-0126,db-server-security-update,7.11.3,7.11.5,CVE-2026-78892,low,2026-07-16T15:36:04
CI-0127,load-balancer-security-update,4.7.4,4.7.5,CVE-2026-83833,critical,2026-08-05T16:55:59
CI-0128,cache-security-update,7.6.3,7.6.6,CVE-2026-98481,high,2026-07-26T00:42:31
CI-0129,message-queue-security-update,3.18.1,3.18.2,CVE-2026-33612,medium,2026-07-16T21:16:31
CI-0130,load-balancer-security-update,7.8.0,7.8.3,CVE-2026-52849,medium,2026-08-06T07:56:17
CI-0131,app-server-security-update,9.12.5,9.12.6,CVE-2026-87789,critical,2026-07-09T15:03:46
CI-0132,web-server-security-update,4.6.1,4.6.4,CVE-2026-68845,critical,2026-07-10T14:03:19
CI-0133,api-gateway-security-update,1.16.8,1.16.9,CVE-2026-82018,low,2026-07-18T05:46:31
CI-0134,cache-security-update,6.18.1,6.18.3,CVE-2026-60865,critical,2026-07-29T22:00:33
CI-0135,storage-volume-security-update,1.16.4,1.16.6,CVE-2026-18269,high,2026-07-27T00:04:49
CI-0136,api-gateway-security-update,2.13.9,2.13.12,CVE-2026-76829,high,2026-08-06T10:58:19
CI-0137,web-server-security-update,8.7.4,8.7.7,CVE-2026-33885,high,2026-07-29T15:29:06
CI-0138,app-server-security-update,8.16.0,8.16.1,CVE-2026-83416,high,2026-07-13T17:39:09
CI-0139,db-server-security-update,6.8.5,6.8.9,CVE-2026-60178,low,2026-07-31T09:03:42
CI-0140,storage-volume-security-update,4.1.4,4.1.6,CVE-2026-67538,high,2026-07-15T13:19:23
CI-0141,web-server-security-update,3.9.5,3.9.8,CVE-2026-65746,medium,2026-07-08T15:25:47
CI-0142,app-server-security-update,6.20.1,6.20.4,CVE-2026-92378,medium,2026-08-01T17:39:33
CI-0143,network-switch-security-update,3.18.2,3.18.4,CVE-2026-24280,high,2026-07-24T03:54:41
CI-0144,db-server-security-update,4.18.3,4.18.7,CVE-2026-70862,critical,2026-07-24T20:04:11
CI-0145,web-server-security-update,6.2.3,6.2.4,CVE-2026-98447,critical,2026-07-22T06:30:39
CI-0146,message-queue-security-update,2.5.2,2.5.5,CVE-2026-30110,medium,2026-07-12T14:24:08
CI-0147,message-queue-security-update,3.17.4,3.17.5,CVE-2026-17764,medium,2026-07-30T21:35:37
CI-0148,app-server-security-update,1.14.8,1.14.11,CVE-2026-91038,high,2026-07-19T00:05:33
CI-0149,app-server-security-update,6.9.4,6.9.7,CVE-2026-61647,high,2026-07-31T11:28:45
CI-0150,cache-security-update,3.9.4,3.9.5,CVE-2026-98785,critical,2026-07-17T02:25:01
CI-0151,network-switch-security-update,4.7.7,4.7.10,CVE-2026-60515,medium,2026-07-14T17:28:21
CI-0152,web-server-security-update,2.0.4,2.0.7,CVE-2026-40808,low,2026-08-02T01:03:19
CI-0153,storage-volume-security-update,9.6.9,9.6.10,CVE-2026-45609,medium,2026-07-24T02:08:56
CI-0154,cache-security-update,9.1.3,9.1.7,CVE-2026-83874,high,2026-08-01T13:43:20
CI-0155,api-gateway-security-update,2.20.0,2.20.2,CVE-2026-65555,medium,2026-07-25T02:46:54
CI-0156,web-server-security-update,8.5.0,8.5.3,CVE-2026-30651,high,2026-07-29T04:39:45
CI-0157,load-balancer-security-update,8.17.1,8.17.2,CVE-2026-48421,low,2026-08-04T17:43:45
CI-0158,cache-security-update,1.18.9,1.18.13,CVE-2026-81505,medium,2026-07-17T04:59:10
CI-0159,api-gateway-security-update,6.10.9,6.10.12,CVE-2026-77448,low,2026-07-18T11:57:52
CI-0160,app-server-security-update,6.16.5,6.16.9,CVE-2026-29650,high,2026-07-10T13:35:34
CI-0161,app-server-security-update,2.17.2,2.17.6,CVE-2026-22268,high,2026-07-09T16:32:06
CI-0162,web-server-security-update,2.2.5,2.2.9,CVE-2026-36174,low,2026-07-27T10:00:07
CI-0163,message-queue-security-update,2.13.4,2.13.7,CVE-2026-31488,high,2026-07-12T19:41:54
CI-0164,cache-security-update,2.17.4,2.17.6,CVE-2026-66402,high,2026-07-18T05:29:50
CI-0165,storage-volume-security-update,8.5.6,8.5.10,CVE-2026-70800,medium,2026-07-28T20:06:01
CI-0166,db-server-security-update,1.8.6,1.8.8,CVE-2026-19557,low,2026-07-11T19:55:25
CI-0167,db-server-security-update,8.14.9,8.14.11,CVE-2026-92589,critical,2026-07-28T21:12:48
CI-0168,api-gateway-security-update,7.2.9,7.2.10,CVE-2026-28052,medium,2026-07-16T16:05:27
CI-0169,db-server-security-update,5.8.5,5.8.8,CVE-2026-48741,medium,2026-07-10T03:40:09
CI-0170,message-queue-security-update,5.16.9,5.16.10,CVE-2026-13883,low,2026-07-18T13:23:03
CI-0171,web-server-security-update,4.0.5,4.0.8,CVE-2026-21130,medium,2026-08-04T22:07:32
CI-0172,message-queue-security-update,7.8.2,7.8.3,CVE-2026-78913,high,2026-07-26T02:46:32
CI-0173,app-server-security-update,6.15.9,6.15.10,CVE-2026-23204,critical,2026-07-12T18:34:01
CI-0174,storage-volume-security-update,6.7.7,6.7.8,CVE-2026-13570,low,2026-08-04T01:01:19
CI-0175,storage-volume-security-update,9.2.1,9.2.5,CVE-2026-31439,medium,2026-07-15T11:54:04
CI-0176,api-gateway-security-update,7.20.9,7.20.12,CVE-2026-70211,medium,2026-07-31T22:00:03
CI-0177,db-server-security-update,8.18.6,8.18.8,CVE-2026-81083,medium,2026-07-18T06:00:12
CI-0178,storage-volume-security-update,5.13.5,5.13.8,CVE-2026-56116,low,2026-07-24T15:49:30
CI-0179,network-switch-security-update,5.10.0,5.10.3,CVE-2026-34197,low,2026-07-21T15:55:33
CI-0180,web-server-security-update,1.6.3,1.6.5,CVE-2026-97351,medium,2026-07-15T23:06:20
CI-0181,app-server-security-update,9.12.7,9.12.8,CVE-2026-13522,low,2026-07-19T08:08:39
CI-0182,web-server-security-update,5.10.6,5.10.9,CVE-2026-87213,low,2026-07-14T21:19:18
CI-0183,api-gateway-security-update,6.16.6,6.16.7,CVE-2026-43060,critical,2026-07-30T16:01:24
CI-0184,storage-volume-security-update,9.6.3,9.6.4,CVE-2026-56202,high,2026-08-03T10:46:19
CI-0185,web-server-security-update,1.9.9,1.9.12,CVE-2026-30241,high,2026-07-25T18:06:56
CI-0186,network-switch-security-update,2.2.1,2.2.5,CVE-2026-97001,low,2026-07-25T14:44:36
CI-0187,api-gateway-security-update,1.12.2,1.12.4,CVE-2026-99629,high,2026-07-23T04:55:42
CI-0188,web-server-security-update,7.11.0,7.11.3,CVE-2026-75244,medium,2026-07-15T08:36:20
CI-0189,message-queue-security-update,1.5.7,1.5.11,CVE-2026-65814,high,2026-07-12T02:03:14
CI-0190,message-queue-security-update,7.20.0,7.20.3,CVE-2026-76335,critical,2026-07-27T13:24:33
CI-0191,storage-volume-security-update,9.4.3,9.4.4,CVE-2026-10137,critical,2026-07-15T03:23:41
CI-0192,load-balancer-security-update,9.1.5,9.1.8,CVE-2026-42275,high,2026-08-05T21:40:30
CI-0193,app-server-security-update,5.19.3,5.19.6,CVE-2026-72048,high,2026-07-14T10:27:28
CI-0194,load-balancer-security-update,2.15.7,2.15.9,CVE-2026-71059,critical,2026-07-20T08:46:53
CI-0195,web-server-security-update,8.15.2,8.15.3,CVE-2026-29797,critical,2026-07-31T14:36:33
CI-0196,storage-volume-security-update,2.3.6,2.3.9,CVE-2026-56433,low,2026-08-04T22:26:01
CI-0197,api-gateway-security-update,8.7.5,8.7.7,CVE-2026-27059,high,2026-08-03T12:31:42
CI-0198,web-server-security-update,3.17.4,3.17.5,CVE-2026-27022,medium,2026-07-12T09:27:12
CI-0199,message-queue-security-update,7.7.4,7.7.5,CVE-2026-83690,high,2026-07-26T18:00:52
CI-0200,app-server-security-update,5.1.8,5.1.12,CVE-2026-86772,high,2026-08-01T20:06:01
